manga	link
BEAUTY HONEY	https://www.animeclick.it/manga/15019/beauty-honey
BELL	https://www.animeclick.it/manga/18743/bell
BENKYOU SHINASAI!	https://www.animeclick.it/manga/16066/benkyou-shinasai
BERRY DYNAMITE	https://www.animeclick.it/manga/11953/berry-dynamite
BINAN KOUKOU CHIKYUU BOUEIBU LOVE! LOVE!	https://www.animeclick.it/manga/26568/binan-koukou-chikyuu-boueibu-love-love
BINAN KOUKOU CHIKYUU SEIFUKUBU LOVE!	https://www.animeclick.it/manga/23204/binan-koukou-chikyuu-seifukubu-love
BINKAN KISS	https://www.animeclick.it/manga/24383/binkan-kiss
BIRTHDAY SONGS	https://www.animeclick.it/manga/16134/birthday-songs
BISEXUAL	https://www.animeclick.it/manga/11376/bisexual
BISHOUNEN TANTEIDAN	https://www.animeclick.it/manga/19010/bishounen-tanteidan
BITOU LOLLIPOP	https://www.animeclick.it/manga/12490/bitou-lollipop
BIYAKU CAFÉ	https://www.animeclick.it/manga/12847/biyaku-cafe
BLACK BABYLON	https://www.animeclick.it/manga/30992/black-babylon
BLACK BIRD	https://www.animeclick.it/manga/10346/black-bird
BLACK ROSE ALICE	https://www.animeclick.it/manga/10760/black-rose-alice
BLANK UP	https://www.animeclick.it/manga/25357/blank-up
BLIND GAME	https://www.animeclick.it/manga/13402/blind-game
BLOODY MARY	https://www.animeclick.it/manga/14812/bloody-mary
BLUE	https://www.animeclick.it/manga/11435/blue
BLUE FRIEND	https://www.animeclick.it/manga/21562/blue-friend
BLUE WARS	https://www.animeclick.it/manga/15378/blue-wars
BODAIJU RYOU NO ARIA	https://www.animeclick.it/manga/13479/bodaiju-ryou-no-aria
BOKKONRINRI	https://www.animeclick.it/manga/20091/bokkonrinri
BŌKOKU NO MARGUERITE	https://www.animeclick.it/manga/29007/boukoku-no-marguerite
BOKU DATTE, KISS SHITAI.	https://www.animeclick.it/manga/28904/boku-datte-kiss-shitai
BOKU GA OTONA NI SHITE AGERU	https://www.animeclick.it/manga/26665/boku-ga-otona-ni-shiteageru
BOKU GA UTAU TO KIMI WA WARAU KARA	https://www.animeclick.it/manga/11545/boku-ga-utau-to-kimi-wa-warau-kara
BOKU KARA KIMI GA KIENAI	https://www.animeclick.it/manga/12484/boku-kara-kimi-ga-kienai
BOKU NI HANA NO MELANCHOLY	https://www.animeclick.it/manga/18533/boku-ni-hana-no-melancholy
BOKU NI NATTA WATASHI	https://www.animeclick.it/manga/11812/boku-ni-natta-watashi
BOKU NO IE NI OIDE	https://www.animeclick.it/manga/14611/boku-no-ie-ni-oide
BOKU NO IE NI OIDE WEDDING	https://www.animeclick.it/manga/22798/boku-no-ie-ni-oide-wedding
BOKU NO JEALOUSY MONOGATARI.	https://www.animeclick.it/manga/22017/boku-no-jealousy-monogatari
BOKU NO RINNE	https://www.animeclick.it/manga/18750/boku-no-rinne
BOKU NO TONARI NI ANKOKU HAKAISHIN GA IMASU.	https://www.animeclick.it/manga/18144/boku-no-tonari-ni-ankoku-hakaishin-ga-imasu
BOKU TO KANOJO NO XXX - BANGAIHEN	https://www.animeclick.it/manga/23680/boku-to-kanojo-no-xxx-bangaihen
BOKU TO KIMI NO TAISETSU NA HANASHI	https://www.animeclick.it/manga/18320/boku-to-kimi-no-taisetsu-na-hanashi
BOKU TO KIMI TODE NIJI NI NARU	https://www.animeclick.it/manga/12675/boku-to-kimi-to-de-niji-ni-naru
BOKU TO KISEKI TO HOUSEKI TO	https://www.animeclick.it/manga/25503/boku-to-kiseki-to-houseki-to
BOKU TO SENPAI NO TEKKEN KOUSAI	https://www.animeclick.it/manga/14722/boku-to-senpai-no-tekken-kousai
BOKU TO WATASHI NO JUU-NEN KOI	https://www.animeclick.it/manga/28905/boku-to-watashi-no-juu-nen-koi
BOKU WA CHIKYUU TO UTAU - BOKU CHIKYUU JISEIDAI HEN	https://www.animeclick.it/manga/16273/boku-wa-chikyuu-to-utau-boku-chikyuu-jiseidai-hen
