manga	link
BAKUMAN.	https://www.animeclick.it/manga/10198/bakuman
BAKUMATSU IBUNROKU - CODE GEASS: HANGYAKU NO LELOUCH	https://www.animeclick.it/manga/11756/bakumatsu-ibunroku-code-geass-hangyaku-no-lelouch
BAKUON DENSETSU KABURAGI	https://www.animeclick.it/manga/18082/bakuon-densetsu-kaburagi
BAKURETSU HUNTER - CACCIATORI DI STREGONI	https://www.animeclick.it/manga/10666/bakuretsu-hunter
BAKUTEN SHOOT BEYBLADE: RISING	https://www.animeclick.it/manga/22972/bakuten-shoot-beyblade-rising
BALJAK	https://www.animeclick.it/manga/11008/baljak
BALLROOM E YOUKOSO	https://www.animeclick.it/manga/13235/ballroom-e-youkoso
BAMBOO BLADE B	https://www.animeclick.it/manga/20980/bamboo-blade-b
BANANA NO NANA	https://www.animeclick.it/manga/14988/banana-no-nana
BANG DREAM!	https://www.animeclick.it/manga/26283/bang-dream
BANG DREAM! STAR BEAT	https://www.animeclick.it/manga/26286/bang-dream-star-beat
BANYA - HELL’S ANGEL DELIVERY MAN	https://www.animeclick.it/manga/9829/banya
BAOH	https://www.animeclick.it/manga/9902/baoh
BARAKAMON	https://www.animeclick.it/manga/12506/barakamon
BARAMON NO KAZOKU	https://www.animeclick.it/manga/12283/baramon-no-kazoku
BARON	https://www.animeclick.it/manga/10867/baron
BAROQUE	https://www.animeclick.it/manga/10724/baroque
BARRAGE	https://www.animeclick.it/manga/15289/sensei-no-barrage
BASQUASH!	https://www.animeclick.it/manga/11940/basquash
BASQUASH! ECLIPSE STAGE	https://www.animeclick.it/manga/14175/basquash-eclipse-stage
BATMAN DEATH MASK	https://www.animeclick.it/manga/12021/batman-death-mask
BATMAN E LA JUSTICE LEAGUE	https://www.animeclick.it/manga/22754/batman-and-the-justice-league
BATMANGA	https://www.animeclick.it/manga/22744/batman-manga
BATTLE ATHLETES DAIUNDOUKAI	https://www.animeclick.it/manga/31709/battle-athletes-daiundoukai
BATTLE MEXIA	https://www.animeclick.it/manga/20243/battle-mexia
BATTLE SPIRITS BASHIN	https://www.animeclick.it/manga/11877/battle-spirits-bashin
BATTLE SPIRITS: DAN	https://www.animeclick.it/manga/11610/battle-spirits-dan
BATTO-KUN	https://www.animeclick.it/manga/12165/battokun
BAYMAX	https://www.animeclick.it/manga/15220/baymax
BE BLUES! - AO NI NARE	https://www.animeclick.it/manga/14378/be-blues-ao-ni-nare
BEAST CHILDREN	https://www.animeclick.it/manga/28659/beast-children
BEAST COMPLEX	https://www.animeclick.it/manga/31716/beast-complex
BEASTARS	https://www.animeclick.it/manga/21227/beastars
BEATLESS - DYSTOPIA	https://www.animeclick.it/manga/13591/beatless-dystopia
BECK	https://www.animeclick.it/manga/9545/beck
BEELZEBUB	https://www.animeclick.it/manga/10220/beelzebub
BEELZEBUB-JOU NO OKI NI MESU MAMA.	https://www.animeclick.it/manga/18208/beelzebub-jou-no-okinimesumama
BEET VANDEL BUSTER	https://www.animeclick.it/manga/9818/beet-vandel-buster
BENKEI	https://www.animeclick.it/manga/26037/benkei
BERNARD JOU IWAKU.	https://www.animeclick.it/manga/17351/barnard-jou-iwaku
BERSERK OF GLUTTONY	https://www.animeclick.it/manga/25800/berserk-of-gluttony
BEST 8	https://www.animeclick.it/manga/25040/best-8
BESTIARIUS	https://www.animeclick.it/manga/14902/toujuushi
BEYBLADE BURST	https://www.animeclick.it/manga/22979/beyblade-burst
BIBLIOTHECA MYSTICA DE DANTALIAN	https://www.animeclick.it/manga/11923/dantalian-no-shoka
BIG ORDER	https://www.animeclick.it/manga/12803/big-order
BIG X	https://www.animeclick.it/manga/26040/big-x
BILLION DOGS	https://www.animeclick.it/manga/15725/billion-dogs
BINBOGAMI!	https://www.animeclick.it/manga/12068/binbougami-ga
BINZO	https://www.animeclick.it/manga/19735/binzo
BIRDMEN	https://www.animeclick.it/manga/14411/birdmen
BIRDY THE MIGHTY	https://www.animeclick.it/manga/10094/birdy-the-mighty
BIRTH	https://www.animeclick.it/manga/9565/birth
BLACK BUTLER - IL MAGGIORDOMO DIABOLICO	https://www.animeclick.it/manga/10290/kuroshitsuji
BLACK CAT	https://www.animeclick.it/manga/9649/black-cat
BLACK CLOVER	https://www.animeclick.it/manga/15666/black-clover
BLACK CLOVER SD: ASTA-KUN MAHOUTEI E NO MICHI	https://www.animeclick.it/manga/26533/black-clover-sd-asta-kun-mahoutei-e-no-michi
BLACK CLOVER: QUARTET KNIGHTS	https://www.animeclick.it/manga/26476/black-clover-gaiden-quartet-knights
BLACK JACK	https://www.animeclick.it/manga/10443/black-jack
BLACK JACK: BJ X BJ	https://www.animeclick.it/manga/12205/black-jack-bj-x-bj
BLACK MAGIC	https://www.animeclick.it/manga/10539/black-magic
BLACK ROCK SHOOTER - THE GAME	https://www.animeclick.it/manga/14177/black-rock-shooter-the-game
